AnnotatorID,protocol,login,,,,,,,
1195751,ESA,engdeu6901,,,,,,,
1195751,ESA,engdeu6902,,,,,,,
1195751,ESA,engdeu6903,,,,,,,
2698694,ESA,engdeu6904,,,,,,,
876949,ESA,engdeu6905,,,,,,,
1195751,ESA,engdeu6906,,,,,,,
3966771,ESA,engdeu6907,,,,,,,
1195751,ESA,engdeu6908,,,,,,,
1195751,ESA,engdeu6909,,,,,,,
1225897,ESA,engdeu690a,,,,,,,
1225897,ESA,engdeu690b,,,,,,,
1225897,ESA,engdeu690c,,,,,,,
876949,ESA,engdeu690d,,,,,,,
2698694,ESA,engdeu690e,,,,,,,
2698694,ESA,engdeu690f,,,,,,,
2698694,ESA,engdeu6910,,,,,,,
1195751,ESA,engdeu6911,,,,,,,
1195751,ESA,engdeu6912,,,,,,,
1195751,ESA,engdeu6913,,,,,,,
1225897,ESA,engdeu6914,,,,,,,
1225897,ESA,engdeu6915,,,,,,,
1225897,ESA,engdeu6916,,,,,,,
876949,ESA,engdeu6917,,,,,,,
1236603,ESA,engdeu6918,,,,,,,
1236603,ESA,engdeu6919,,,,,,,
1236603,ESA,engdeu691a,,,,,,,
1819808,ESA,engdeu691b,,,,,,,
1441946,ESA,engdeu691c,,,,,,,
3966771,ESA,engdeu691d,,,,,,,
1441946,ESA,engdeu691e,,,,,,,
3966771,ESA,engdeu691f,,,,,,,
1441946,ESA,engdeu6920,,,,,,,
3966771,ESA,engdeu6921,,,,,,,
1441176,ESA+GEMBA,engdeu6801,,,,,,,
2411325,ESA+GEMBA,engdeu6802,,,,,,,
2411325,ESA+GEMBA,engdeu6803,,,,,,,
2411325,ESA+GEMBA,engdeu6804,,,,,,,
418633,ESA+GEMBA,engdeu6805,,,,,,,
418633,ESA+GEMBA,engdeu6806,,,,,,,
418633,ESA+GEMBA,engdeu6807,,,,,,,
1819760,ESA+GEMBA,engdeu6808,,,,,,,
1819760,ESA+GEMBA,engdeu6809,,,,,,,
1819760,ESA+GEMBA,engdeu680a,,,,,,,
1445736,ESA+GEMBA,engdeu680b,,,,,,,
1819760,ESA+GEMBA,engdeu680c,,,,,,,
1819760,ESA+GEMBA,engdeu680d,,,,,,,
1819760,ESA+GEMBA,engdeu680e,,,,,,,
1821563,ESA+GEMBA,engdeu680f,,,,,,,
1821563,ESA+GEMBA,engdeu6810,,,,,,,
1821563,ESA+GEMBA,engdeu6811,,,,,,,
1623191,ESA+GEMBA,engdeu6812,,,,,,,
1623191,ESA+GEMBA,engdeu6813,,,,,,,
1623191,ESA+GEMBA,engdeu6814,,,,,,,
1595341,ESA+GEMBA,engdeu6815,,,,,,,
1595341,ESA+GEMBA,engdeu6816,,,,,,,
1595341,ESA+GEMBA,engdeu6817,,,,,,,
1445736,ESA+GEMBA,engdeu6818,,,,,,,
1958730,ESA+GEMBA,engdeu6819,,,,,,,
2365651,ESA+GEMBA,engdeu681a,,,,,,,
2365651,ESA+GEMBA,engdeu681b,,,,,,,
987140,ESA+GEMBA,engdeu681c,,,,,,,
1595341,ESA+GEMBA,engdeu681d,,,,,,,
1623191,ESA+GEMBA,engdeu681e,,,,,,,
2365651,ESA+GEMBA,engdeu681f,,,,,,,
987140,ESA+GEMBA,engdeu6820,,,,,,,
1623191,ESA+GEMBA,engdeu6821,,,,,,,
954083,MQM,engdeu6a01,,,,,,,
954083,MQM,engdeu6a02,,,,,,,
